#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Thariq,@trq212,2026-04-08T00:38:39.000Z,"Doing a workshop on my technical writing process in SF in 2 weeks, hosted by friends 
@MilksandMatcha
 and 
@swyx
. 

Would love to see you there! Link below.",17,16,252,42268,https://x.com/trq212/status/2041677067117588871
2,Anthony Morris ツ,@amorriscode,2026-04-08T03:51:03.000Z,wait a minute… you didn’t invite me bro?,,,,259,https://x.com/amorriscode/status/2041725483822543219
3,Thariq,@trq212,2026-04-08T03:37:42.000Z,"done about 10 of these calls so far + looked at more transcripts

many learnings but one of the biggest is that it's very easy to spend a lot of tokens on open ended verification that doesn't make your output better

I'll try and write more on how to do it efficiently",40,9,354,33988,https://x.com/trq212/status/2041722125510377705
4,Arby's,@Arbys,2026-04-07T22:04:04.000Z,"Tennessee, America",175,584,7300,336494,https://x.com/Arbys/status/2041638161525141779
5,Logan Kilpatrick,@OfficialLoganK,2026-04-08T01:38:13.000Z,"Could not be more bullish on Google, so much good stuff cooking : ) going to be a fun next few months.",116,69,1400,50690,https://x.com/OfficialLoganK/status/2041692053575217220
6,austin petersmith,@awwstn,2026-04-08T00:13:23.000Z,"i've never met him, but sam altman has had many positive impacts on me over the years. so, i would like to weigh in with some counterpoints that were ignored in ronan farrow's lengthy op-ed about how he is the devil:

- when SVB was collapsing, sam spent the weekend wiring",18,50,523,80902,https://x.com/awwstn/status/2041670708217205232
7,Google for Developers,@googledevs,2026-04-08T01:00:01.000Z,"Build real-time conversational agents with Gemini 3.1 Flash Live.

Improve user interactions with technology that supports natural conversations across 90+ languages, accent changes, and multimodal inputs.",5,8,53,4739,https://x.com/googledevs/status/2041682441014788186
8,Demis Hassabis,@demishassabis,2026-04-08T00:56:10.000Z,"Thanks for the great conversation 
@cleoabram
 (and some competitive Jenga)! Really enjoyed talking about all the amazing ways AI is helping to advance science & the incredible future it will enable!",20,45,395,34950,https://x.com/demishassabis/status/2041681474580021536
9,Andrew Mayne,@AndrewMayne,2026-04-08T00:52:40.000Z,We live in a timeline where the actor that played Captain Kirk in the 1960s has now actually has been to space and can offer his insight about space travel as we watch a new generation of astronauts travel around the moon.,1,7,25,2565,https://x.com/AndrewMayne/status/2041680590508892237
10,will depue,@willdepue,2026-04-08T00:38:00.000Z,"every major government, that hasn’t already, just bumped AI from high strategic priority to critical cyberwarfare capability. welcome to the midgame",8,22,395,21206,https://x.com/willdepue/status/2041676899559338257
