#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,OpenAI Developers,@OpenAIDevs,2026-03-12T00:21:05.000Z,"The best way to celebrate 1 year of Responses API is to take a look at what you've shipped.


@raindrop_ai
 is using it to monitor agent behavior in production.",12,11,85,5244,https://x.com/OpenAIDevs/status/2031888169956934011
2,OpenAI Developers,@OpenAIDevs,2026-03-12T00:21:29.000Z,"http://
Collxn.com is jamming with Responses API to turn record collections into a conversational experience.",1,,6,1865,https://x.com/OpenAIDevs/status/2031888272704848383
3,OpenAI Developers,@OpenAIDevs,2026-03-12T00:21:33.000Z,"@hexagonAIlabs
 is building with Responses API to measure brand visibility in AI answers.",2,,8,1735,https://x.com/OpenAIDevs/status/2031888289222017131
4,cat,@_catwu,2026-03-12T00:03:23.000Z,"Install the Claude for Excel and Claude for PowerPoint add-ins to bring Claude directly into your workflow 

As of today, these agents support Skills and are able to share context with each other

Excel install: 
http://
claude.com/claude-for-exc
el
…
PowerPoint install: 
http://
claude.com/claude-for-pow
erpoint
…",2,7,46,4487,https://x.com/_catwu/status/2031883716633772419
5,Google,@Google,2026-03-10T19:22:05.000Z,"10 years ago, 
@GoogleDeepMind
’s AlphaGo became the first program to beat a world champion at Go — a game with more moves than atoms in the universe.

AlphaGo won with the help of “Move 37,” a play so unconventional experts thought it was a mistake. Here’s how that win heralded",38,76,427,52697,https://x.com/Google/status/2031450539150774714
6,Google Play business community,@GooglePlayBiz,2026-03-11T23:30:30.000Z,"Great games belong everywhere players are. 

Google Play is a unified universe for your games. We're building a seamless experience for your players between mobile and PC, empowering creators to bring their worlds to massive new audiences.

Discover how the industry's most",1,2,11,2089,https://x.com/GooglePlayBiz/status/2031875444270625133
7,Logan Kilpatrick,@OfficialLoganK,2026-03-11T23:14:48.000Z,"We just rolled out a way to quickly check the rate limits for other API tiers in 
@GoogleAIStudio
, a building block for future updates to come : )",41,18,277,17160,https://x.com/OfficialLoganK/status/2031871492707762334
8,Logan Kilpatrick,@OfficialLoganK,2026-03-11T23:16:45.000Z,"great work by 
@jastephx
 and the team to make this happen, lot more updates in the works.",2,1,13,4298,https://x.com/OfficialLoganK/status/2031871983550411185
9,Yossi Matias,@ymatias,2026-03-11T22:24:56.000Z,"AI capable of clinical reasoning has the potential to increase access to expertise while giving physicians more time with patients. Realizing this requires a safety-centric, evidence-based approach that moves beyond simulation into real-world clinical environments.

In",1,4,8,472,https://x.com/ymatias/status/2031858942687826131
10,Yossi Matias,@ymatias,2026-03-11T22:24:57.000Z,Key results from the study:  Conversational safety: No safety-related stops were required by physician supervisors across all patient interactions.  Clinical reasoning: AMIE matched final diagnoses within its top 7 possibilities in 90% of cases.  Trust: Patient attitudes,1,,,64,https://x.com/ymatias/status/2031858945695076520
11,Yossi Matias,@ymatias,2026-03-11T22:24:58.000Z,"This marks a vital step in our multi-year research progression—moving from simulated clinical exams (OSCEs) to actual virtual care workflows. It provides the empirical foundation for our next phase: a nationwide randomized study with Included Health.
Read more details on the",,,,62,https://x.com/ymatias/status/2031858948245000532
12,Flow by Google,@FlowbyGoogle,2026-03-11T22:11:03.000Z,"Stay within your creative flow. With the ability to “@” for specific assets within your prompts, you can spend more time creating and less time sifting through generations. #FindYourFlow",5,10,80,3175,https://x.com/FlowbyGoogle/status/2031855449272959018
13,Google for Startups,@GoogleStartups,2026-03-11T22:10:00.000Z,"Is your startup’s productivity ready for the next era of work? AI isn’t just a tool. It’s infrastructure. 

Join Damian Danchenko (Head of AI Customer Engineering, Startups North America, 
@Google
) and Lia Passaglia (AI Customer Engineer, Startups North America, Google) for a",2,,9,514,https://x.com/GoogleStartups/status/2031855183194435598
14,Google for Startups,@GoogleStartups,2026-03-11T22:10:01.000Z,Stop managing tasks. Start scaling impact through great architecture. Register now:,,,,303,https://x.com/GoogleStartups/status/2031855187887837188
15,Ara Kharazian,@arakharazian,2026-03-11T16:39:10.000Z,"I've seen enough. Anthropic is the new default for businesses.

Says latest Ramp AI Index.",33,92,867,61322,https://x.com/arakharazian/status/2031771926557823225
