#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Thariq,@trq212,2026-04-08T17:46:44.000Z,"Managed Agents is the first 'agent in the cloud' API that has the right mix of simplicity and complexity.

Implementation details like how you manage a sandbox are abstracted, but you have a lot of control over the actual execution of the model.",114,83,1200,233338,https://x.com/trq212/status/2041935792596304030
2,Anthony Morris ツ,@amorriscode,2026-04-09T03:30:45.000Z,is this tweet original content????,1,,10,1014,https://x.com/amorriscode/status/2042082762321227903
3,Thariq,@trq212,2026-04-09T03:36:45.000Z,this is so niche I cant even tell what youre subtweeting,1,,12,902,https://x.com/trq212/status/2042084273763823963
4,Robert Bye,@RobertJBye,2026-04-08T23:10:29.000Z,"You can now customise your 
@claudeai
 iOS widgets to get to Claude Code and Dispatch faster.",35,27,604,42667,https://x.com/RobertJBye/status/2042017264078352567
5,Kevin Weil,@kevinweil,2026-04-09T02:55:25.000Z,Five Erdos problems at once! The proofs are getting more elegant as the models improve,1,5,89,6714,https://x.com/kevinweil/status/2042073869880848481
6,Tibo,@thsottiaux,2026-04-09T02:31:42.000Z,I realize yesterday’s Codex reset came in a bit at an unfortunate time given the last one was almost perfectly a week ago. To really celebrate the 3M I’ll reset again tomorrow. Thanks for the feedback!,363,358,3300,136816,https://x.com/thsottiaux/status/2042067902392942790
7,Yo Shavit,@yonashav,2026-04-08T22:35:27.000Z,this is all a lot,2,2,75,4499,https://x.com/yonashav/status/2042008450482499618
8,James Campbell,@jam3scampbell,2026-04-09T00:32:18.000Z,"anthropic roommate came back sloppy drunk at 3am last night and had a full scale crash out through tears and slurred words about how the world will never be the same

glad to hear the mythos release was received well internally",31,34,1700,119003,https://x.com/jam3scampbell/status/2042037856588447883
9,Logan Kilpatrick,@OfficialLoganK,2026-04-08T23:44:45.000Z,"Projects in the 
@GeminiApp
 are now live, with a fun twist…. Notebooks! Enjoy the NotebookLM inspired experience.",43,47,525,24584,https://x.com/OfficialLoganK/status/2042025888053702911
10,Simon,@tokumin,2026-04-08T21:02:23.000Z,"Notebooks in Gemini as Knowledge Bases for your  projects ....or just to organize your chats.... Shipped! 

Notebooks in Gemini are also available inside NotebookLM, unlocking cross product superpowers like transforming your gemini chats into detailed Cinematic Video Overviews in",5,8,73,4024,https://x.com/tokumin/status/2041985025592455210
