#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Philipp Schmid,@_philschmid,2026-04-02T07:30:04.000Z,@googlegemma,7,4,113,6166,https://x.com/_philschmid/status/2039606274141163891
2,gabriel,@gabriel1,2026-04-02T07:12:36.000Z,"it would be awesome to have a snapshots of the x for you page for every month since you started

a look into your life at different times",3,,53,3229,https://x.com/gabriel1/status/2039601878447923353
3,Demis Hassabis,@demishassabis,2026-04-01T23:44:36.000Z,,231,299,3800,473684,https://x.com/demishassabis/status/2039489134465614068
4,Philipp Schmid,@_philschmid,2026-04-02T05:31:35.000Z,,1,,20,2041,https://x.com/_philschmid/status/2039576456636797038
5,Philipp Schmid,@_philschmid,2026-04-02T05:21:52.000Z,Gemma,3,5,116,10589,https://x.com/_philschmid/status/2039574010690687221
6,fredrika,@fredrikalindh,2026-04-02T04:47:11.000Z,we at cursor finally use pretext to wrap the h1 on the landing page,15,7,233,22740,https://x.com/fredrikalindh/status/2039565284626047310
7,Daniel Beauchamp,@pushmatrix,2026-03-31T13:23:12.000Z,"Huh, so that's why text is called a string",423,1700,20000,909213,https://x.com/pushmatrix/status/2038970365477593280
8,Tibo,@thsottiaux,2026-04-02T03:46:34.000Z,Codex growth goes weeee. And it's not even next week. Who even works on April 1st.,111,33,1000,49442,https://x.com/thsottiaux/status/2039550028444991515
9,Thariq,@trq212,2026-04-01T04:41:38.000Z,/buddy,485,348,3900,494795,https://x.com/trq212/status/2039201498996035924
10,Thariq,@trq212,2026-04-01T04:42:26.000Z,"cant believe I got a SNAIL 
@alistaiir
 pls",20,,195,44101,https://x.com/trq212/status/2039201699907469344
11,Anthony Morris ツ,@amorriscode,2026-04-02T03:35:41.000Z,at least it wasn't a chonk,,,1,793,https://x.com/amorriscode/status/2039547288276893721
12,OpenAI Newsroom,@OpenAINewsroom,2026-04-02T01:16:15.000Z,"OpenAI Co-founder and President 
@gdb
 sits down with 
@alexkantrowitz
 on 
@BigTechPod
 to talk AI and how it can empower everyone.",78,39,392,24565,https://x.com/OpenAINewsroom/status/2039512199862059343
13,Logan Kilpatrick,@OfficialLoganK,2026-04-01T23:32:12.000Z,Gemma,155,201,1800,242747,https://x.com/OfficialLoganK/status/2039486016751366431
14,Ammaar Reshi,@ammaar,2026-04-02T00:06:53.000Z,"Time for 
@o_lacombe
 to show us what he’s been cooking with team",,,15,2052,https://x.com/ammaar/status/2039494742518456348
15,Kane 謝凱堯,@kane,2026-04-01T19:28:37.000Z,oh no someone call the moon police,114,981,16000,445992,https://x.com/kane/status/2039424714481992136
16,Anthony Morris ツ,@amorriscode,2026-04-01T23:13:18.000Z,just sayin,7,,137,39031,https://x.com/amorriscode/status/2039481260125651148
17,Thariq,@trq212,2026-04-01T23:51:06.000Z,they don’t use claude code,19,,105,7857,https://x.com/trq212/status/2039490772085707020
18,Anthony Morris ツ,@amorriscode,2026-04-01T23:51:56.000Z,"the rocket is orange, it is claude code",1,,21,1708,https://x.com/amorriscode/status/2039490980311925189
19,Anthony Morris ツ,@amorriscode,2026-04-01T22:58:11.000Z,"If you're working on GitHub repos in Claude Code desktop, you can attach GitHub Issues as context.

I'm the bottleneck to Claude's productivity. One of the best ways to let Claude cook is to give it access to as much context  as possible and this is one way I do it!",26,19,156,9495,https://x.com/amorriscode/status/2039477454142910845
