#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Joaquin Quiñonero Candela,@jquinonero,2026-04-10T05:20:20.000Z,"""UI ideas from the human that I agree with"" (this is Codex talking to Claude Code about a brainstorm we both just had).",,1,1,43,https://x.com/jquinonero/status/2042472728515789261
2,Morgan Lunt,@morganlunt,2026-04-09T20:06:16.000Z,Tired of manually writing config files and env vars to use Claude Code with Amazon Bedrock or Google Vertex? Me too. Just shipped a setup wizard that handles it for you. Bonus: Claude Code now notices if you have an older model pinned and suggests a newer one if you have access!,5,9,63,23249,https://x.com/morganlunt/status/2042333291924369890
3,Tibo,@thsottiaux,2026-04-10T02:54:44.000Z,I get so many personal thank you emails for something and it’s not even a feature. All we needed apparently was a new codex plan. Can we rest now?,131,18,859,30097,https://x.com/thsottiaux/status/2042436086392373392
4,alistair,@alistaiir,2026-04-09T20:52:59.000Z,"We're launching the Monitor tool in today's Claude Code release.

Claude spawns a background process and each stdout line streams into the conversation, without blocking the thread.

e.g. ""Use the monitor tool and `kubectl logs -f | grep ..` to listen for errors, make a pr to fix",31,82,670,66151,https://x.com/alistaiir/status/2042345049980362819
5,OpenAI Newsroom,@OpenAINewsroom,2026-04-09T23:39:04.000Z,"Compute powers every layer of AI, and the investments we’ve made mean we can run more promising research experiments, train more capable models, and support broader access. 
@merettm
 talks about our progress building an automated AI researcher and what’s ahead as AI can take on",17,24,283,26020,https://x.com/OpenAINewsroom/status/2042386846764974528
6,Anthony Morris ツ,@amorriscode,2026-04-09T23:26:23.000Z,works in desktop too,8,4,64,4475,https://x.com/amorriscode/status/2042383655914651911
7,Google for Developers,@googledevs,2026-04-09T23:00:01.000Z,"Build and test applications faster with a multi-agent coding system.

Gain direct experience with 
@Antigravity
 at a Build with AI event and move from design to execution using an IDE with built-in gen AI.

 Multi-agent coding system and IDE
 Lab testing and app development",3,18,88,6210,https://x.com/googledevs/status/2042377018159906931
8,OpenAI Developers,@OpenAIDevs,2026-04-09T22:30:55.000Z,Build macOS apps with our Codex plugin:,25,74,1000,119219,https://x.com/OpenAIDevs/status/2042369696608239848
9,Jason Wolfe,@w01fe,2026-04-09T22:23:48.000Z,Really appreciate Joe and Anthropic sharing this level of detail and insight in how they are thinking about constitutions/model specs!,,,9,1296,https://x.com/w01fe/status/2042367902943494402
10,Boris Cherny,@bcherny,2026-04-09T21:23:28.000Z,"Just got a nice DM from a big enterprise customer using Claude Code in one of the world's biggest codebases

Here's how we made @-mentions 3x faster in large enterprise codebases",59,52,1400,169178,https://x.com/bcherny/status/2042352720489955539
11,Boris Cherny,@bcherny,2026-04-09T21:23:30.000Z,"The wins came from three places:

1. Pre-computing upfront in a clever way that doesn't block the main thread
2. Avoiding NAPI overhead for small result sets
3. Iteratively asking Claude to find perf improvements for faster file search",2,2,93,20912,https://x.com/bcherny/status/2042352728094245016
12,Boris Cherny,@bcherny,2026-04-09T21:23:30.000Z,Enjoy faster @-mentions in Claude Code! This went out in v2.1.85.,11,2,153,18719,https://x.com/bcherny/status/2042352730040394148
13,Google Research,@GoogleResearch,2026-04-09T21:05:20.000Z,"Introducing ConvApparel, a new human-AI conversation dataset, as well as a comprehensive evaluation framework designed to quantify the ""realism gap"" in LLM-based user simulators and improve the training of robust conversational agents.

Read all about it →
https://
goo.gle/41k5eff",2,20,126,7616,https://x.com/GoogleResearch/status/2042348159800848472
14,cat,@_catwu,2026-04-09T20:54:44.000Z,We made setting up Claude Code with Bedrock and Vertex much faster!,4,10,111,14083,https://x.com/_catwu/status/2042345489778331915
15,Boris Cherny,@bcherny,2026-04-09T20:51:53.000Z,"Claude Cowork, now generally available!",53,39,719,66090,https://x.com/bcherny/status/2042344772153848043
16,Sam Altman,@sama,2026-04-09T20:43:08.000Z,It is very nice to see Codex getting so much love. We are launching a $100 ChatGPT Pro tier by very popular demand.,1000,392,7300,511447,https://x.com/sama/status/2042342572958630332
17,OpenAI Developers,@OpenAIDevs,2026-04-06T20:10:56.000Z,"Let’s talk about building with Codex.

Join 
@ryannystrom
, 
@derrickcchoi
 and 
@varunrau
 for a chat about Codex workflows, from exploring feature ideas to shipping together as a team.",46,30,364,59835,https://x.com/OpenAIDevs/status/2041247305286996373
18,Thariq,@trq212,2026-04-09T20:13:45.000Z,"you'll need to explicitly prompt Claude Code to use it, but the Monitor Tool is super powerful

e.g. ""start my dev server and use the MonitorTool to observe for errors""",77,109,1900,180526,https://x.com/trq212/status/2042335178388103559
19,Demis Hassabis,@demishassabis,2026-04-08T00:56:10.000Z,"Thanks for the great conversation 
@cleoabram
 (and some competitive Jenga)! Really enjoyed talking about all the amazing ways AI is helping to advance science & the incredible future it will enable!",41,121,1200,156810,https://x.com/demishassabis/status/2041681474580021536
20,Noah Zweben,@noahzweben,2026-04-09T20:02:12.000Z,"Thrilled to announce the Monitor tool which lets Claude create background scripts that wake the agent up when needed.  

Big token saver and great way to move away from polling in the agent loop  

Claude can now: 
* Follow logs for errors 
* Poll PRs via script 
* and more!",145,364,3900,541549,https://x.com/noahzweben/status/2042332268450963774
21,Google for Developers,@googledevs,2026-04-09T20:00:01.000Z,"Build more refined AI agents by optimizing your RAG pipeline with GDE, Glen Yu → 
https://
goo.gle/4sZdLAh 

Glen Yu shows how to:

 Use Docling for structured formats
 Apply dot product for efficiency
 Implement re-ranking for accuracy",5,39,261,11953,https://x.com/googledevs/status/2042331722298060929
22,roon,@tszzl,2026-04-09T19:07:44.000Z,I’ve watched sam explain datacenter physics in detail to researchers who clearly didn’t have as good a grasp of it as he did. I remember him being extremely bullish on the reasoning paradigm in Jul ‘23 when that wasn’t all that obvious. i like how the same article tries to make,51,38,1000,54867,https://x.com/tszzl/status/2042318564414407000
23,Alex Albert,@alexalbert__,2026-04-09T19:49:48.000Z,"Allowing Sonnet to ""phone a friend"" (i.e. call Opus) increases performance while also reducing total cost since it reduces tokens spent trying to solve more complex tasks",81,82,2100,153953,https://x.com/alexalbert__/status/2042329150086922574
24,Tibo,@thsottiaux,2026-04-09T19:33:58.000Z,"At the current codex growth pace, we will owe you all another reset in less than two weeks. Would be funny to reach a state where these happen more than once a week before we reach 10M. Scrambling to get the capacity online.",133,48,1600,73937,https://x.com/thsottiaux/status/2042325164902531427
25,Thariq,@trq212,2026-04-09T19:07:40.000Z,"I think ""prompting"" will keep being an incredibly high-leverage skill, like writing or public speaking.

It is the skill of talking to agents, mediated by the harness.

My main goal is to grow the bandwidth between humans and agents, to help us understand each other better.",244,151,1900,85609,https://x.com/trq212/status/2042318547519762678
26,Josh Woodward,@joshwoodward,2026-04-09T19:06:05.000Z,"Create your first full song today. For free.

In under 50 days, over 100 million songs have been generated on 
@GeminiApp
. To celebrate, we’re unlocking the full power of our music model, Lyria 3.

Here’s what you get starting today:
 Generate up to 5 full-length tracks every",29,56,363,29113,https://x.com/joshwoodward/status/2042318148851188151
