#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Tibo,@thsottiaux,2026-04-06T03:38:20.000Z,Codex is for wizards,69,17,375,11776,https://x.com/thsottiaux/status/2040997506927284654
2,Sriram Krishnan,@sriramk,2026-04-02T19:07:33.000Z,"Really excited for this launch of Gemma 4 from 
@demishassabis
 and the DeepMind team.

Open source models are a key front for the west to have a lead on and this is a very key addition to the effort.

Excited to see what developers in SV and around the world can build using this.",19,27,363,104852,https://x.com/sriramk/status/2039781800864567624
3,Fidji Simo,@fidjissimo,2026-04-05T23:32:53.000Z,"If there is one good thing that can come out of having my health issues exposed to the world, it’s raising awareness for complex chronic conditions like POTS, MECFS, Long Covid or EDS.",54,55,748,85159,https://x.com/fidjissimo/status/2040935739903688956
4,Fidji Simo,@fidjissimo,2026-04-05T23:41:02.000Z,"I have high hopes that AI will accelerate the path to cures, but patients cannot wait. Despite all the resources at my disposal and an incredible support system, I still couldn’t avoid a medical leave. We need better solutions for all patients, now.",7,2,84,7256,https://x.com/fidjissimo/status/2040937787919319187
5,Fidji Simo,@fidjissimo,2026-04-05T23:55:56.000Z,"And for the trolls online: no, these conditions do not cause one to look like Morticia Addams. That look is, believe it or not, all self-chosen and intentional.",10,2,124,6404,https://x.com/fidjissimo/status/2040941537769742782
6,clem,@ClementDelangue,2026-04-05T21:55:06.000Z,"Gemma 4 is #1 on 
@huggingface
!",19,41,385,24102,https://x.com/ClementDelangue/status/2040911131108069692
7,Logan Kilpatrick,@OfficialLoganK,2026-04-05T19:29:33.000Z,"Lots of people want Gemma 4! 

Google AI Edge is #8 on the iOS App Store for productivity apps.",74,67,1300,90484,https://x.com/OfficialLoganK/status/2040874501777317982
8,gabriel,@gabriel1,2026-04-04T06:06:45.000Z,"it's crazy to me that when we're born, we probably have no concept of self? is it just like nonsense visuals, emotions, pressure, and nonsense audio?

you start feeling good emotion when seeing your parents face and closeness, but you don't know what that is except feeling good",13,3,185,10149,https://x.com/gabriel1/status/2040310082093846825
9,Jason Wolfe,@w01fe,2026-04-05T18:55:57.000Z,You might like this book (if you haven’t read already),,,,32,https://x.com/w01fe/status/2040866046148857856
10,gabriel,@gabriel1,2026-04-05T18:08:10.000Z,"every now and then, something big happens to how humans do work",25,12,277,14878,https://x.com/gabriel1/status/2040854020206875114
11,gabriel,@gabriel1,2026-04-05T18:48:23.000Z,"next thing won't require more intelligence, just better ways for humans to make better decisions faster",,1,48,2468,https://x.com/gabriel1/status/2040864140991025264
12,Tom Reed,@mentalgeorge,2026-04-05T17:32:31.000Z,"We should also consider alternative routes to ""prosocial AI"" that don't depend on labs training their own definition of prosociality into models.

 One path of the tech-tree I'd be excited to explore:

1. Models get very good at faithfully applying in-context natural language",1,3,13,2734,https://x.com/mentalgeorge/status/2040845048804479385
13,gabriel,@gabriel1,2026-04-05T17:03:16.000Z,my english is improving because the fast transcription models are still too bad for my swedish accent,21,3,245,10777,https://x.com/gabriel1/status/2040837689679958397
14,Jesse Genet,@jessegenet,2026-04-03T23:08:38.000Z,"It’s happened.

Mac Studio is here. Gemma 4 31b 
@GoogleDeepMind
 installed, chatting with my main 
@openclaw
 for $0 in token expenses now...

I've burned $5-6k on tokens on my crazy ideas over past few months, so this mac studio should pencil out for me within 3 months or so",346,449,6000,759063,https://x.com/jessegenet/status/2040204860080230594
15,Sebastian Caliri,@SebastianCaliri,2026-04-04T17:01:06.000Z,"It looks like the White House is finally taking US-China biotech competition seriously. The FDA is putting forward an expedited IND pathway that would shorten time to first-in-human. 

Overdue, but good news for American biotech.",23,100,558,103460,https://x.com/SebastianCaliri/status/2040474755988398531
16,Jerry Tworek,@MillionInt,2026-04-05T15:39:22.000Z,First step to create an antifragile company is to become antifragile yourself,7,13,178,10808,https://x.com/MillionInt/status/2040816573691441289
17,Pushmeet Kohli,@pushmeet,2026-04-05T07:21:33.000Z,"Using AI to solve the Traveling Salesman Problem at warehouse scale. 

AlphaEvolve helped FM Logistic improve its routing algorithm by 10.4%, resulting in a reduction of total warehouse travel by over 15,000 km per year. 

A great example of how 
@GoogleDeepMind
 and",12,70,487,73901,https://x.com/pushmeet/status/2040691296516620715
18,Philipp Schmid,@_philschmid,2026-04-05T12:27:52.000Z,"Interested in how open models works? Read this visual guide to Gemma 4 that explains all works with diagrams.

Covers how the model handles images, audio, and text, why only a fraction of parameters run during inference (MoE), and how tiny models (2B) fit on a phone using a",8,18,188,8322,https://x.com/_philschmid/status/2040768380563505345
