#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Greg Brockman,@gdb,2026-03-11T00:59:32.000Z,ChatGPT for interactive learning of math and science:,1,1,5,175,https://x.com/gdb/status/2031535461483614628
2,Micah Carroll,@MicahCarroll,2026-03-10T20:50:16.000Z,"Very curious to see if 
@OpenAI
's auditing pipelines catch these agents! Thank you for doing this work which materially helps with race-to-the-top dynamics",,4,29,3041,https://x.com/MicahCarroll/status/2031472730047132111
3,Romain Huet,@romainhuet,2026-03-10T23:47:02.000Z,"Developers coming from other tools are often impressed by what Codex finds in code review.

In this video, 
@majatrebacz
 and I show how to set it up and walk through issues Codex finds in real PRs.

Included with ChatGPT Plus/Pro (or ~$1/run with credits).",8,12,79,5052,https://x.com/romainhuet/status/2031517213799362760
4,dominik kundel,@dkundel,2026-03-10T23:40:13.000Z,"How well do you still know your codebase? 

Had Codex build a little RepoGuessr game where you have to guess which file a certain line of code belongs to. 

You can try it with open source repos at: 
 
https://
repoguessr.vercel.app",4,5,46,6396,https://x.com/dkundel/status/2031515499046285459
5,Noah Zweben,@noahzweben,2026-03-10T23:43:07.000Z,Anyone using /loop with /remote-control? Would love to hear!,4,1,14,1941,https://x.com/noahzweben/status/2031516229824032779
6,ChatGPT,@ChatGPTapp,2026-03-10T23:21:29.000Z,140 million people use ChatGPT to help them understand math and science concepts every week.,68,47,408,18336,https://x.com/ChatGPTapp/status/2031510785428762732
7,Thariq,@trq212,2026-03-10T23:03:39.000Z,"We just added /btw to Claude Code! 

Use it to have side chain conversations while Claude is working.",452,674,7200,252561,https://x.com/trq212/status/2031506296697131352
8,Thariq,@trq212,2026-03-10T23:15:36.000Z,"a bit more on the technical details- this cannot do any tool calls and is a single turn of output but has the entire context of your conversation

s/o to 
@ErikSchluntz
 for building this as a side project

read more in our docs here:",13,10,263,15700,https://x.com/trq212/status/2031509303870501210
9,Anthropic,@AnthropicAI,2026-03-10T23:03:19.000Z,"Anthropic is expanding to Australia & New Zealand. We’ll soon open an office in Sydney—our fourth in Asia-Pacific after Tokyo, Bengaluru, and Seoul.

Read more:",71,77,696,39906,https://x.com/AnthropicAI/status/2031506214228828186
10,Google Cloud Tech,@GoogleCloudTech,2026-03-09T22:00:00.000Z,"From an empty folder to a live voting app in 30 minutes.   

Watch Joe Hanley use Gemini CLI and Firebase Skills to build and deploy an app with Auth and Firestore. No boilerplate, just building.

See the full demo on this week’s livestream → 
https://
goo.gle/47ivuKc",3,21,127,10871,https://x.com/GoogleCloudTech/status/2031127892768301195
11,OpenAI Developers,@OpenAIDevs,2026-03-05T18:12:39.000Z,"Migrate to GPT-5.4 with this Codex skill:


https://
github.com/openai/skills/
tree/main/skills/.system/openai-docs
…",16,16,283,46684,https://x.com/OpenAIDevs/status/2029621124783640901
12,Kevin Weil,@kevinweil,2026-03-10T22:01:09.000Z,So excited to work together! I have a feeling it's going to be a productive summer :),1,3,111,10640,https://x.com/kevinweil/status/2031490567612318177
13,Google AI Developers,@googleaidevs,2026-03-10T21:00:00.000Z,"Join 
@cerebral_valley
 and 
@GoogleDeepMind
 on March 14 for the Gemini 3 Paris Hackathon

Build with the latest Gemini 3 models to create tools that can see, hear, and reason in the moment. Secure your spot:",1,4,27,3104,https://x.com/googleaidevs/status/2031475179411394876
14,Google Research,@GoogleResearch,2026-03-10T20:49:52.000Z,"Calling researchers in synthetic media & digital forensics! Google & IEEE SPS invite proposals for the International Symposium on Synthetic Media Attribution & Detection (ISSMAD) 2026. Submit posters/talks. Open to work-in-progress. Deadline May 1. Apply: 
https://
goo.gle/4s3Ijk5",1,3,23,1590,https://x.com/GoogleResearch/status/2031472629589434673
15,Noam Brown,@polynoamial,2026-03-10T16:17:28.000Z,"The recipe behind today’s frontier reasoning models is surprisingly similar to AlphaGo:

1) Imitate large amounts of human data

2) Scale inference compute to reason better (back then it was Monte Carlo Tree Search, today it's Chain of Thought)

3) Use RL to go beyond imitation",31,78,909,73386,https://x.com/polynoamial/status/2031404079583473953
16,Noam Brown,@polynoamial,2026-03-10T17:48:55.000Z,"I believe that one day we could, but not clear if we ever should.",17,8,229,11463,https://x.com/polynoamial/status/2031427092999713071
17,Demis Hassabis,@demishassabis,2026-03-10T20:48:45.000Z,"First we do something AlphaGo-like then maybe AlphaZero-like but that will likely be post-AGI imo, and as Noam says, we should be very careful with a step like that.",2,15,134,5253,https://x.com/demishassabis/status/2031472350286258219
