#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,will depue,@willdepue,2026-04-03T08:31:55.000Z,sight glass has this unique thing where everytime you order coffee here you get the feeling that the baristas fucking hate you. it’s pretty great,2,,30,2398,https://x.com/willdepue/status/2039984226347491836
2,will depue,@willdepue,2026-04-03T07:19:51.000Z,"if we were serious about appropriately punishing crimes based on societal impact, grave academic & scientific fraud would carry a life sentence",13,,54,3308,https://x.com/willdepue/status/2039966089329668322
3,will depue,@willdepue,2026-04-03T07:27:24.000Z,@govsingapore,1,,,774,https://x.com/willdepue/status/2039967989965963530
4,will depue,@willdepue,2026-04-03T07:06:29.000Z,"I’m highly skeptical of a 3B parameter trained on 22B tokens doing basically anything at all. Given a 3B is literally a stochastic parrot + results here are almost always accidental contamination, will be excited for someone to do this at scale. IIRC Alec has been doing stuff",6,4,87,11386,https://x.com/willdepue/status/2039962726777172265
5,Greg Brockman,@gdb,2026-04-03T06:17:05.000Z,"the codex app is growing super fast, it’s very well done",64,12,459,29210,https://x.com/gdb/status/2039950296969863283
6,Tibo,@thsottiaux,2026-04-03T03:05:02.000Z,"The Codex App is now our most used surface, ahead of the VS Code extension and the CLI. No wonder it inspires a few others 

You can install it here 
https://
openai.com/codex/ + you get up to $500 in credits if you are getting started as a business or enterprise.",129,68,1200,163750,https://x.com/thsottiaux/status/2039901964679688437
7,Tibo,@thsottiaux,2026-04-03T02:30:03.000Z,"With Codex the there is quite the gulf in load between peak and off-peak times, and we would like to achieve more of a smoother traffic pattern as that would be a more optimal use of our compute. 

We have ideas, but curious what you all think we should do? Would more usage",600,60,1200,90108,https://x.com/thsottiaux/status/2039893158952419779
8,Noah Zweben,@noahzweben,2026-04-03T00:28:19.000Z,"to the Windows, to the wall",8,2,127,11128,https://x.com/noahzweben/status/2039862525018448359
9,Google for Developers,@googledevs,2026-04-02T23:30:01.000Z,See what Gemma 4 can do for your Android app!,5,16,170,13787,https://x.com/googledevs/status/2039847851719545074
10,Claude,@claudeai,2026-04-02T22:46:27.000Z,Computer use in Claude Cowork and Claude Code Desktop is now available on Windows.,526,1100,8700,860513,https://x.com/claudeai/status/2039836891508261106
11,Greg Brockman,@gdb,2026-04-02T22:22:20.000Z,"We've changed our pricing so it's now possible to try Codex at work without any up-front commitment.

Codex (especially through the app!) has gotten *really* good. Happy building!",80,37,1000,127036,https://x.com/gdb/status/2039830819498491919
12,Tibo,@thsottiaux,2026-04-02T22:20:20.000Z,"For business and enterprise, Codex now starts at $0 seats with pay-as-you-go. It's time to build.",49,28,495,29952,https://x.com/thsottiaux/status/2039830319302693367
13,Tom Reed,@mentalgeorge,2026-04-02T20:13:51.000Z,"Some nice clarifications here from 
@w01fe
 on the role that the ""Red Lines"" play in defining what OpenAI models can or cannot do.

- Red lines don't just relate to model behaviour, they're commitments about the full deployed system, including interventions (like system messages)",,2,9,1117,https://x.com/mentalgeorge/status/2039798486808608804
14,Noah Zweben,@noahzweben,2026-04-02T21:18:30.000Z,The mouse is so back,2,3,101,9402,https://x.com/noahzweben/status/2039814757642011081
15,Flow by Google,@FlowbyGoogle,2026-04-02T21:15:05.000Z,"New Ingredient unlocked! 

You can now assign specific voices when selecting ingredients. Choose from 30 distinct options to keep your dialogue and characters consistent across every setting, scene, and action.

This experimental feature is currently available to Ultra users.",55,67,413,43964,https://x.com/FlowbyGoogle/status/2039813897180656015
16,Philipp Schmid,@_philschmid,2026-04-02T20:37:53.000Z,"Things you might have missed from the Gemma 4 launch today! 

- You can use Gemma 4 as your agent for building Android apps in Android Studio, offline! 
https://
android-developers.googleblog.com/2026/04/androi
d-studio-supports-gemma-4-local.html
…

- You can use LiteRT to load Gemma in Android and iOS. 
https://
ai.google.dev/edge/litert-lm
/overview
… 

- You can download",3,19,104,5407,https://x.com/_philschmid/status/2039804536726921326
