#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Thariq,@trq212,2026-04-01T04:41:38.000Z,/buddy,58,20,178,5229,https://x.com/trq212/status/2039201498996035924
2,Thariq,@trq212,2026-04-01T04:42:26.000Z,"cant believe I got a SNAIL 
@alistaiir
 pls",1,,13,1747,https://x.com/trq212/status/2039201699907469344
3,Kevin Weil,@kevinweil,2026-04-01T04:38:05.000Z,Not only is AI solving more open problems—its proofs are getting more elegant as the models improve,1,2,19,1033,https://x.com/kevinweil/status/2039200605672284572
4,will depue,@willdepue,2026-04-01T04:18:48.000Z,"Hanging out in Hong Kong, hit me up if you’re around. DMs open or hit burner on WhatsApp +1 (907) 501-1483",2,,18,1214,https://x.com/willdepue/status/2039195754296942807
5,gabriel,@gabriel1,2026-04-01T03:55:14.000Z,coding kinda pay to win,29,10,194,7147,https://x.com/gabriel1/status/2039189820132728964
6,gabriel,@gabriel1,2026-04-01T04:16:58.000Z,"it's always been pay to win, but now you can be one dude and win",2,1,19,931,https://x.com/gabriel1/status/2039195292378230910
7,News from Google,@NewsFromGoogle,2026-03-31T21:53:21.000Z,"Today, we’re rolling out updates to Fitbit’s personal health coach in Public Preview, including new tracking features for nutrient and water intake, mindfulness, stress and menstrual cycles.",3,9,68,4045,https://x.com/NewsFromGoogle/status/2039098749675315628
8,Chrome for Developers,@ChromiumDev,2026-03-06T20:01:25.000Z,"From flight searches to restaurant bookings, WebMCP is making apps agent-ready. Explore our list of demos to see the future of the web in action. Have a project? Submit a PR to be featured → 
https://
goo.gle/3MsLxOB",9,76,637,77138,https://x.com/ChromiumDev/status/2030010885712855155
9,Demis Hassabis,@demishassabis,2026-03-26T18:53:04.000Z,"Gemini 3.1 Flash Live is our highest quality audio & voice model yet - and a big leap towards building next-gen voice-first agents. Lower latency, better precision, more natural interactions... try it now with Gemini Live in the 
@GeminiApp
 or build with it in 
@GoogleAIStudio
!",122,150,1500,271653,https://x.com/demishassabis/status/2037241441152590056
10,Demis Hassabis,@demishassabis,2026-03-31T19:06:30.000Z,"Cc 
@joshwoodward
 we will look into it thanks",1,,4,799,https://x.com/demishassabis/status/2039056763316547605
11,Josh Woodward,@joshwoodward,2026-04-01T01:53:03.000Z,On it.,,,3,504,https://x.com/joshwoodward/status/2039159074148016167
12,Kevin Hou,@kevinhou22,2026-04-01T01:48:17.000Z,"I joined Builders from 
@KleinerPerkins
 with 
@josh_coyne
 & 
@LM_Braswell
, alongside my friend 
@_mohansolo
, to talk agentic coding:

- what we learned building antigravity
- agent-ready codebases
- future of always-on agentic products

Thanks to our friends at KP for having us on!",3,5,34,5532,https://x.com/kevinhou22/status/2039157874144997655
13,Kevin Hou,@kevinhou22,2026-04-01T01:49:08.000Z,Full video,,,2,394,https://x.com/kevinhou22/status/2039158086779494762
14,Justin Cerenzia,@Cerenz,2026-03-31T20:38:24.000Z,"Been a 
@NotebookLM
 fan from day one and still am—but one thing it really illuminates is how much taste and curation still matter. The tool is powerful and fun, and it gets even more so when you're deliberate about what you feed it. Knowledge isn't obsolete. It's the whole point.",,,3,1484,https://x.com/Cerenz/status/2039079891010724299
15,Logan Kilpatrick,@OfficialLoganK,2026-04-01T00:27:07.000Z,"Quality of life updates to 
@GoogleAIStudio
 we just shipped (using Gemini):

- You can now (optionally) save a temp chat in the playground
- You can now turn a playground chat into an app in 2 clicks
- Updated colors for playground to add some soul to it
- Simplified the mobile",48,43,473,24418,https://x.com/OfficialLoganK/status/2039137446932185266
16,Logan Kilpatrick,@OfficialLoganK,2026-04-01T00:28:34.000Z,"and these are just the set of things I have personally worked on with the engineering team + Gemini, so much more great stuff landed and in flight : )",3,2,57,7447,https://x.com/OfficialLoganK/status/2039137810741870880
17,Anthropic,@AnthropicAI,2026-04-01T00:27:02.000Z,"We've signed an MOU with the Australian Government to collaborate on AI safety research and support Australia's National AI Plan.

Read more:",118,128,896,89245,https://x.com/AnthropicAI/status/2039137425214353555
18,Figma,@figma,2026-03-31T16:08:17.000Z,"Live with Claude Code

Join Figma's designer advocate, Brett McMillin, and Anthropic's technical staff member, Thariq Shihipar, as they talk through how to move fluidly between Claude Code and Figma.",26,107,920,4617971,https://x.com/figma/status/2039011910260293851
19,Sherwin Wu,@sherwinwu,2026-03-31T23:41:22.000Z,"Everyone told me Tokyo wasn’t the most kid-friendly city, but after visiting Lalaport Mall in Toyosu – I’m starting to think otherwise. The mall has:

- a mini theme park called KidZania, where kids can pretend to do adult jobs for the day, like being a firefighter
- some",,,19,2216,https://x.com/sherwinwu/status/2039125935354782172
20,Sherwin Wu,@sherwinwu,2026-03-31T23:27:19.000Z,"ChatGPT for Excel is now available worldwide! 

We’ve been floored by the demand for the Excel plugin since launch, and we couldn’t be more excited to bring it to more people.

(sorry EU consumer, coming soon…)


https://
chatgpt.com/apps/spreadshe
ets/
…",5,7,113,8065,https://x.com/sherwinwu/status/2039122396440064046
