#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Greg Brockman,@gdb,2026-03-19T05:27:05.000Z,codex has gotten very good!,78,16,433,49688,https://x.com/gdb/status/2034501896094761164
2,Josh Woodward,@joshwoodward,2026-03-19T05:24:34.000Z,Let's go Matt!,1,1,25,2863,https://x.com/joshwoodward/status/2034501260536394003
3,Anthony Morris ツ,@amorriscode,2026-03-19T04:51:02.000Z,Friendly reminder to update your Claude desktop app! We're shipping a lot of stuff and you deserve the latest and greatest.,42,12,269,9123,https://x.com/amorriscode/status/2034492821626032435
4,Jerry Tworek,@MillionInt,2026-03-19T04:46:00.000Z,"If you’re trying to solve software problems with hardware you’re going to have a bad time

If they’re trying to solve hardware problems with software, you’re going to have a good time",12,6,121,5969,https://x.com/MillionInt/status/2034491555357274189
5,Larry Dial,@classiclarryd,2026-03-19T01:55:04.000Z,"Very cool. My 2 cents for participants: most compute will be spent on undifferentiated hill climbing from people functioning as LLM vessels. Agents can climb hills, but humans are still superior at finding them. What paradigm can you introduce? Sparse circuit discovery and",10,10,293,32626,https://x.com/classiclarryd/status/2034448538185212292
6,Tomek Korbak,@tomekkorbak,2026-03-19T03:52:11.000Z,"We all know about eval awareness but models sometimes keep think they're being evaluated even after they're deployed or when they're still being trained. Metagaming (thinking about an oversight process) might be a better unifying frame!  
https://
alignment.openai.com/metagaming",3,6,35,1400,https://x.com/tomekkorbak/status/2034478013530955950
7,Demis Hassabis,@demishassabis,2026-03-19T03:12:58.000Z,"You can vibe design some incredible interfaces with 
@stitchbygoogle",53,88,992,96535,https://x.com/demishassabis/status/2034468142647222331
8,Ethan Mollick,@emollick,2026-03-18T00:41:40.000Z,"After using it a bit, Claude Cowork Dispatch covers 90% of what I was trying to use OpenClaw for, but feels far less likely to upload my entire drive to a malware site.",176,214,5700,320553,https://x.com/emollick/status/2034067677157679379
9,Noah Zweben,@noahzweben,2026-03-19T02:32:20.000Z,"And another thing... Skills and a bunch of /slash commands (/clear, /compact) etc now work over mobile in Remote Control.  As a heads up we dont have auto-complete yet so better get those spelling-bee skills sharpened :)  

Update to latest cc & mobile",33,17,342,24854,https://x.com/noahzweben/status/2034457917555179977
10,Noah Zweben,@noahzweben,2026-03-19T02:32:49.000Z,Will work to clean up those not so formatted messages :p,3,,9,894,https://x.com/noahzweben/status/2034458037004697745
11,Jerry Tworek,@MillionInt,2026-03-19T02:26:43.000Z,"Lots of inconvenience comes from the fact that we’re just very bad at measuring intelligence

And we think we’re not",7,3,156,7546,https://x.com/MillionInt/status/2034456502862500335
12,Noah Zweben,@noahzweben,2026-03-19T02:09:56.000Z,"A few  Claude Code VSCode drops

1. Remote Control in VSCode",11,4,73,5149,https://x.com/noahzweben/status/2034452278971932695
13,Noah Zweben,@noahzweben,2026-03-19T02:09:56.000Z,2. Pop out plans to make it easier to review,3,,14,998,https://x.com/noahzweben/status/2034452280414806359
14,Noah Zweben,@noahzweben,2026-03-19T02:09:57.000Z,3. Session Management,,,9,794,https://x.com/noahzweben/status/2034452282092450083
15,Google DeepMind,@GoogleDeepMind,2026-03-17T21:09:54.000Z,"How do we measure progress toward AGI? It takes a village – and a bit of healthy competition. 

We’re launching a global hackathon with 
@Kaggle
 to build new cognitive evaluations for AI. With $200k in prizes up for grabs, help us put our framework to the test.

Join the",59,133,726,196884,https://x.com/GoogleDeepMind/status/2034014385941975298
16,Thariq,@trq212,2026-03-19T00:49:09.000Z,"I'm going to be doing a skills livestream tomorrow, Thursday March 19th @ 11:30am PT to talk live about skills and how to use them. Come with questions!

Special guest 
@hudaman
 from Uber to share how Uber is using skills.",51,91,1800,157515,https://x.com/trq212/status/2034431949474091140
17,Thariq,@trq212,2026-03-19T00:49:09.000Z,"It will be streamed from this X account, here's a calendar invite you can add:",13,3,116,11382,https://x.com/trq212/status/2034431951101440440
18,Noam Brown,@polynoamial,2026-03-18T23:05:29.000Z,"""This challenge is designed to surface exceptional researchers and engineers we’d want to hire. Standout participants may be invited to interview for job opportunities at 
@OpenAI
, and winning approaches may be featured publicly.""",12,16,406,59209,https://x.com/polynoamial/status/2034405862899651062
19,Google Labs,@GoogleLabs,2026-03-18T18:33:57.000Z,"Introducing the new 
@stitchbygoogle
, Google’s vibe design platform that transforms natural language into high-fidelity designs in one seamless flow.

Create with a smarter design agent: Describe a new business concept or app vision and see it take shape on an AI-native canvas.",251,1700,10000,3364713,https://x.com/GoogleLabs/status/2034337527293944228
20,Felix Rieseberg,@felixrieseberg,2026-03-18T21:28:13.000Z,"By popular demand, Dispatch can now launch Claude Code sessions. Ask it to build, make, or improve something!

To use it, update your Claude desktop app and make sure you have Code enabled.",130,148,1900,130364,https://x.com/felixrieseberg/status/2034381385134399913
21,Anthony Morris ツ,@amorriscode,2026-03-18T21:44:11.000Z,You can now use Dispatch to run your Code sessions,17,3,146,11329,https://x.com/amorriscode/status/2034385403697103014
22,Google for Developers,@googledevs,2026-03-18T21:00:00.000Z,"Introducing the Developer’s Guide to AI Agent Protocols.

Stop writing custom integration glue for every tool, API, and frontend. We used Google Agent Development Kit to build a B2B agent that handles the full stack using 6 open standards: MCP, A2A, UCP, AP2, A2UI, and AG-UI

The",23,121,666,50662,https://x.com/googledevs/status/2034374282504015964
23,gabriel,@gabriel1,2026-03-18T19:48:19.000Z,,16,19,574,39003,https://x.com/gabriel1/status/2034356242437873670
24,gabriel,@gabriel1,2026-03-18T19:50:35.000Z,"im just copy pasting now with codex 5.4 high (NOT xhigh, NOT medium) before every pr. it's beautiful",2,1,34,3262,https://x.com/gabriel1/status/2034356815023231363
25,Logan Kilpatrick,@OfficialLoganK,2026-03-18T19:14:08.000Z,"Tomorrow we will unveil the all new vibe coding experience in 
@GoogleAIStudio
, the team has spent 4 months rebuilding it all from scratch and smoothing out rough edges to help everyone bring their ideas to life.

This is a big step forward, but just the start : )",408,401,5000,282587,https://x.com/OfficialLoganK/status/2034347641740337653
26,Ammaar Reshi,@ammaar,2026-03-18T19:17:43.000Z,It's time to cook,6,,125,15274,https://x.com/ammaar/status/2034348541770858909
27,Logan Kilpatrick,@OfficialLoganK,2026-03-18T19:19:08.000Z,"cooking is done, time for dinner",12,3,265,14827,https://x.com/OfficialLoganK/status/2034348898509025649
28,Josh Woodward,@joshwoodward,2026-03-18T18:54:23.000Z,"Huge Stitch update today!

My favorite new feature: Stitch Live

You can now click and *talk* to your designs (""change this screen"") or use Stitch as a sounding board for real-time design critiques, and it gets to work on your changes.",10,12,163,8499,https://x.com/joshwoodward/status/2034342669808443896
29,Justine Moore,@venturetwins,2026-03-18T18:11:06.000Z,"Vibe design is here 

I got early access to Stitch from 
@GoogleDeepMind
 and was blown away - it's like partnering with a pro designer.

Start with a simple prompt for a mobile or Web UI and iterate through to a clickable prototype (and code!).

Watch me make ""Finn's Fudge""",32,28,347,45802,https://x.com/venturetwins/status/2034331779436613713
30,Claude Code Community,@claude_code,2026-03-18T18:26:14.000Z,"Worth Reading:

1) What are Skills?
They’re not just text files. They’re folders that can include scripts, assets, data, etc.
A skill is a folder...think of the entire file system as a form of context engineering.

2) The Description Field Is For the Model
The description field",1,,18,5974,https://x.com/claude_code/status/2034335585339375855
31,Boris Cherny,@bcherny,2026-03-18T18:20:18.000Z,Can’t wait for this!,67,58,1200,250250,https://x.com/bcherny/status/2034334092666228770
32,Google for Developers,@googledevs,2026-03-18T18:18:43.000Z,"Today, 
@StitchbyGoogle
 from 
@GoogleLabs
 is evolving into an AI design canvas that turns prompts into production-ready front-end code",15,53,342,22143,https://x.com/googledevs/status/2034333693796639115
